"score","categoria","marca","id_a","nome_a","lojas_a","preco_a","ean_a","gtin_a","mpn_a","id_b","nome_b","lojas_b","preco_b","ean_b","gtin_b","mpn_b","acao_manual","notas"
"0.67","raquetes","Drop Shot","38","Raquete de padel Drop Shot Explorer Pro Attack","Atmosfera Sport","339.99","8435758312778","8435758312778","DP324024","2093","Dropshot explorer pro attack soft raquete de padel","Forum Sport ES | Zona de Padel","190.39","8435758316059","8435758316059","DP344009","",""
"0.67","sapatilhas","Bullpadel","2162","Sapatilhas Bullpadel Hybrid Fly 26V white 2026","Zona de Padel","72.01","8445402955282","8445402955282","14579","2675","Sapatilhas de padel Bullpadel Hybrid Fly 26V","Sport is Good | Smash Expert","70.39","8445402955305","","DC96012000","",""
"0.67","sapatilhas","Bullpadel","2163","Sapatilhas Bullpadel Hybrid Fly 26V grey 2026","Zona de Padel","59.96","8445402955084","8445402955084","14578","2675","Sapatilhas de padel Bullpadel Hybrid Fly 26V","Sport is Good | Smash Expert","70.39","8445402955305","","DC96012000","",""
"0.67","sapatilhas","Mizuno","293","Sapatilhas Mizuno Homem padel Wave Exceed Tour 6 Padel Vermelho Escuro","Atmosfera Sport","112.5","5059431831078","5059431831078","61GB2480-06","2669","Sapatilhas de padel Mizuno Wave Exceed Tour","Sport is Good | Smash Expert","68.94","5059882574050","","61GB248045","",""
"0.67","sapatilhas","Mizuno","294","Sapatilhas Mizuno Mulher de Padel Wave Exceed Light 2 Cc Branco","Atmosfera Sport","93.75","5059431839678","5059431839678","61GC2321-45","2778","Sapatilhas de padel Mizuno Wave Exceed Light Padel","Smash Expert","96","5059431428155","","61GB222240","",""
"0.67","sapatilhas","Mizuno","1703","Sapatilhas de padel Mizuno Wave Exceed Tour 6 Verde","Padel Proshop PT","89","5059431840520","5059431840520","49884156231985","2686","Sapatilhas de tenis Mizuno Wave Exceed Tour 7 Padel","Sport is Good | Smash Expert","96.17","5059882833133","","61GB267735","",""
"0.67","acessorios","LOK","129","Gaveta de Bolas padel Lok Fresh","Atmosfera Sport","130.5","1946753214860","1946753214860","BL1XA0-BOX","1712","Gaveta Bolas de padel Lok Fresh (Pacote x24)","Padel Proshop PT","112","","","50163600195889","",""
"0.67","raquetes","Babolat","1838","Raquete de Padel Babolat Technical Viper 2025","Smash Expert | Padel Proshop PT","171.79","3324922164471","3324922164471","50606798209329","2398","Babolat Technical Viper Juan Lebron 2025","Zona de Padel","174.34","3324922164464","3324922164464","10835","",""
"0.67","raquetes","Bullpadel","8","Padel raquete Mulher Bullpadel Vertex 04 W Premier","Atmosfera Sport","202.49","8445402789207","8445402789207","VERTEX04WPREMIER","2599","Raquete de padel - Bullpadel Vertex 05 M 26","Decathlon ES","249.99","8447552008351","","9002602","",""
"0.67","raquetes","Bullpadel","8","Padel raquete Mulher Bullpadel Vertex 04 W Premier","Atmosfera Sport","202.49","8445402789207","8445402789207","VERTEX04WPREMIER","2874","Raquete de padel Bullpadel Vertex 04 24","Smash Expert","199","8445402483761","","BV22000000","",""
"0.67","raquetes","Bullpadel","20","Raquete Bullpadel Vertex 05","Zona de Padel | Padel Proshop PT | Atmosfera Sport | Deporvillage","208.96","8445402973996","8445402973996","VERTEX0526","2101","Bullpadel vertex 05 tf 25 raquete de padel","Forum Sport ES","269.99","","8447552015335","495197","",""
"0.67","raquetes","Bullpadel","20","Raquete Bullpadel Vertex 05","Zona de Padel | Padel Proshop PT | Atmosfera Sport | Deporvillage","208.96","8445402973996","8445402973996","VERTEX0526","2739","Raqueta de padel Bullpadel Vertex 03 22","Smash Expert","125","8445402124930","","AU43000000","",""
"0.67","raquetes","Bullpadel","22","Raquete Bullpadel Vertex 05 W","Padel Proshop PT | Zona de Padel | Atmosfera Sport | Deporvillage","184.95","8445402974061","8445402974061","VERTEX05W26","2101","Bullpadel vertex 05 tf 25 raquete de padel","Forum Sport ES","269.99","","8447552015335","495197","",""
