"score","categoria","marca","id_a","nome_a","lojas_a","preco_a","ean_a","gtin_a","mpn_a","id_b","nome_b","lojas_b","preco_b","ean_b","gtin_b","mpn_b","acao_manual","notas"
"0.83","sapatilhas","Mizuno","314","Sapatilhas padel Mizuno Wave Exceed Light 2 Mulher brancos","Atmosfera Sport","93.75","5059431698107","5059431698107","61GB2323-66","2778","Sapatilhas de padel Mizuno Wave Exceed Light Padel","Smash Expert","96","5059431428155","","61GB222240","",""
"0.83","sapatilhas","Mizuno","1887","Sapatilhas de padel Mizuno Wave Enforce Court CC","Padel Proshop PT","79","5059882870732","5059882870732","52161734476081","2667","Sapatilhas de padel Mizuno Wave Enforce Court","Sport is Good | Smash Expert","50.56","5059882573800","","61GB243745","",""
"0.83","sapatilhas","Mizuno","2025","Mizuno wave exceed tour 6 padel sapatilhas Padel Hombre","Forum Sport ES","90.44","","5059882574067","61GB2480","2669","Sapatilhas de padel Mizuno Wave Exceed Tour","Sport is Good | Smash Expert","68.94","5059882574050","","61GB248045","",""
"0.83","sapatilhas","Mizuno","2059","Mizuno wave exceed tour 7 padel sapatilhas Padel Hombre","Forum Sport ES","94.49","","5059882833102","61GB2677","2669","Sapatilhas de padel Mizuno Wave Exceed Tour","Sport is Good | Smash Expert","68.94","5059882574050","","61GB248045","",""
"0.80","raquetes","Babolat","822","Babolat Counter Viper 2.6 2026 (Padel Racket)","Zona de Padel | Padel Market | Padel Proshop PT","239.96","3324922283134","3324922283134","150177","2463","Raquete de padel Babolat Counter Viper 2.6","Decathlon ES","289.99","3324922409220","","9000212","",""
"0.80","raquetes","Adidas","716","Raquete adidas Metalbone Carbon Ctrl 3.4","Adidas Padel | Padel Market","143","8435739402788","","AR1CA1U45","1600","Raquete de Padel Adidas Metalbone Carbon CTRL","Smash Expert | Padel Proshop PT","137","8436548248949","8436548248949","47875266969905","",""
"0.80","sapatilhas","ASICS","1980","Asics gel-challenger 14 padel sapatilhas Padel Mujer","Forum Sport ES","74.75","","4550457146555","1042A232","2946","Sapatilhas de padel Asics Gel-challenger 14","Smash Expert","85.66","4550457145275","","1041A404 - 402","",""
"0.80","sapatilhas","ASICS","1980","Asics gel-challenger 14 padel sapatilhas Padel Mujer","Forum Sport ES","74.75","","4550457146555","1042A232","3136","Sapatilhas de padel Asics Gel-Challenger 15","Smash Expert","111","4571633426551","","1041A511 - 101","",""
"0.80","sapatilhas","ASICS","1980","Asics gel-challenger 14 padel sapatilhas Padel Mujer","Forum Sport ES","74.75","","4550457146555","1042A232","3137","Sapatilhas de padel Asics Gel-Challenger 15 L.E","Smash Expert","91","4571633404801","","1041A550 - 750","",""
"0.80","sapatilhas","ASICS","1980","Asics gel-challenger 14 padel sapatilhas Padel Mujer","Forum Sport ES","74.75","","4550457146555","1042A232","3403","Sapatilhas de padel Asics Gel-Challenger 15","Smash Expert","85.07","4571633434136","","1041A511 - 400","",""
"0.80","sapatilhas","ASICS","1987","Asics gel dedicate 8 padel sapatilhas Padel Mujer","Forum Sport ES","48.5","","4550457678087","1042A241","2955","Sapatilhas de padel Asics Gel-Dedicate 8","Smash Expert","53.28","4570158186612","","1041A414 - 001","",""
"0.80","sapatilhas","ASICS","1987","Asics gel dedicate 8 padel sapatilhas Padel Mujer","Forum Sport ES","48.5","","4550457678087","1042A241","3138","Sapatilhas de padel Asics Gel-dedicate 8","Smash Expert","72","4571633427473","","1041A414 - 003","",""
"0.80","sapatilhas","ASICS","1987","Asics gel dedicate 8 padel sapatilhas Padel Mujer","Forum Sport ES","48.5","","4550457678087","1042A241","3169","Sapatilhas de padel Asics Gel-Dedicate 9","Smash Expert","67.5","4571633876288","","1041A546 - 300","",""
"0.80","sapatilhas","ASICS","1987","Asics gel dedicate 8 padel sapatilhas Padel Mujer","Forum Sport ES","48.5","","4550457678087","1042A241","3396","Sapatilhas de padel Asics Gel-Dedicate 8","Smash Expert","70","4571633420016","","1041A414 - 301","",""
"0.80","sapatilhas","ASICS","1987","Asics gel dedicate 8 padel sapatilhas Padel Mujer","Forum Sport ES","48.5","","4550457678087","1042A241","3397","Sapatilhas de padel Asics Gel-Dedicate 8","Smash Expert","74","4571633406409","","1041A414 - 103","",""
"0.80","sapatilhas","ASICS","1992","Asics game ff padel sapatilhas Padel Hombre","Forum Sport ES","60.47","","4570158185400","1041A493","2959","Sapatilhas de padel Asics Game FF","Smash Expert","76","4570158173636","","1041A493 - 400","",""
"0.80","sapatilhas","ASICS","1992","Asics game ff padel sapatilhas Padel Hombre","Forum Sport ES","60.47","","4570158185400","1041A493","3027","Sapatilhas de padel Asics Game FF","Smash Expert","83","4570158702416","","1041A493 - 001","",""
"0.80","sapatilhas","ASICS","1992","Asics game ff padel sapatilhas Padel Hombre","Forum Sport ES","60.47","","4570158185400","1041A493","3135","Sapatilhas de padel Asics Game FF","Smash Expert","52.11","4571633430411","","1041A493 - 101","",""
"0.80","sapatilhas","ASICS","1992","Asics game ff padel sapatilhas Padel Hombre","Forum Sport ES","60.47","","4570158185400","1041A493","3168","Sapatilhas de padel Asics Game FF","Smash Expert","81","4571633872167","","1041A493 - 102","",""
"0.80","sapatilhas","ASICS","1993","Asics game ff padel sapatilhas Padel Mujer","Forum Sport ES","55.43","","4570158167864","1042A286","2959","Sapatilhas de padel Asics Game FF","Smash Expert","76","4570158173636","","1041A493 - 400","",""
"0.80","sapatilhas","ASICS","1993","Asics game ff padel sapatilhas Padel Mujer","Forum Sport ES","55.43","","4570158167864","1042A286","3027","Sapatilhas de padel Asics Game FF","Smash Expert","83","4570158702416","","1041A493 - 001","",""
"0.80","sapatilhas","ASICS","1993","Asics game ff padel sapatilhas Padel Mujer","Forum Sport ES","55.43","","4570158167864","1042A286","3135","Sapatilhas de padel Asics Game FF","Smash Expert","52.11","4571633430411","","1041A493 - 101","",""
"0.80","sapatilhas","ASICS","1993","Asics game ff padel sapatilhas Padel Mujer","Forum Sport ES","55.43","","4570158167864","1042A286","3168","Sapatilhas de padel Asics Game FF","Smash Expert","81","4571633872167","","1041A493 - 102","",""
"0.80","sapatilhas","ASICS","2000","Asics gel challenger 15 padel sapatilhas Padel Hombre","Forum Sport ES","95.99","","4570158852555","1041A511","2946","Sapatilhas de padel Asics Gel-challenger 14","Smash Expert","85.66","4550457145275","","1041A404 - 402","",""
"0.80","sapatilhas","ASICS","2000","Asics gel challenger 15 padel sapatilhas Padel Hombre","Forum Sport ES","95.99","","4570158852555","1041A511","3136","Sapatilhas de padel Asics Gel-Challenger 15","Smash Expert","111","4571633426551","","1041A511 - 101","",""
"0.80","sapatilhas","ASICS","2000","Asics gel challenger 15 padel sapatilhas Padel Hombre","Forum Sport ES","95.99","","4570158852555","1041A511","3137","Sapatilhas de padel Asics Gel-Challenger 15 L.E","Smash Expert","91","4571633404801","","1041A550 - 750","",""
"0.80","sapatilhas","ASICS","2000","Asics gel challenger 15 padel sapatilhas Padel Hombre","Forum Sport ES","95.99","","4570158852555","1041A511","3403","Sapatilhas de padel Asics Gel-Challenger 15","Smash Expert","85.07","4571633434136","","1041A511 - 400","",""
"0.80","sapatilhas","ASICS","2023","Asics gel-dedicate 8 padel sapatilhas Padel Hombre","Forum Sport ES","51.74","","4571633427411","1041A414","2955","Sapatilhas de padel Asics Gel-Dedicate 8","Smash Expert","53.28","4570158186612","","1041A414 - 001","",""
"0.80","sapatilhas","ASICS","2023","Asics gel-dedicate 8 padel sapatilhas Padel Hombre","Forum Sport ES","51.74","","4571633427411","1041A414","3138","Sapatilhas de padel Asics Gel-dedicate 8","Smash Expert","72","4571633427473","","1041A414 - 003","",""
"0.80","sapatilhas","ASICS","2023","Asics gel-dedicate 8 padel sapatilhas Padel Hombre","Forum Sport ES","51.74","","4571633427411","1041A414","3169","Sapatilhas de padel Asics Gel-Dedicate 9","Smash Expert","67.5","4571633876288","","1041A546 - 300","",""
"0.80","sapatilhas","ASICS","2023","Asics gel-dedicate 8 padel sapatilhas Padel Hombre","Forum Sport ES","51.74","","4571633427411","1041A414","3396","Sapatilhas de padel Asics Gel-Dedicate 8","Smash Expert","70","4571633420016","","1041A414 - 301","",""
"0.80","sapatilhas","ASICS","2023","Asics gel-dedicate 8 padel sapatilhas Padel Hombre","Forum Sport ES","51.74","","4571633427411","1041A414","3397","Sapatilhas de padel Asics Gel-Dedicate 8","Smash Expert","74","4571633406409","","1041A414 - 103","",""
"0.80","sapatilhas","ASICS","2485","Sapatilhas de padel mujer - Asics Game FF padel","Decathlon ES","64.99","4571633432071","","9001463","2959","Sapatilhas de padel Asics Game FF","Smash Expert","76","4570158173636","","1041A493 - 400","",""
"0.80","sapatilhas","ASICS","2485","Sapatilhas de padel mujer - Asics Game FF padel","Decathlon ES","64.99","4571633432071","","9001463","3027","Sapatilhas de padel Asics Game FF","Smash Expert","83","4570158702416","","1041A493 - 001","",""
"0.80","sapatilhas","ASICS","2485","Sapatilhas de padel mujer - Asics Game FF padel","Decathlon ES","64.99","4571633432071","","9001463","3135","Sapatilhas de padel Asics Game FF","Smash Expert","52.11","4571633430411","","1041A493 - 101","",""
"0.80","sapatilhas","ASICS","2485","Sapatilhas de padel mujer - Asics Game FF padel","Decathlon ES","64.99","4571633432071","","9001463","3168","Sapatilhas de padel Asics Game FF","Smash Expert","81","4571633872167","","1041A493 - 102","",""
"0.80","sapatilhas","Head","216","Sapatilhas de padel Head Motion Pro BOA","Atmosfera Sport","121","0726423903406","0726423903406","273624-WHBK","2659","Sapatilhas de padel Head Motion Pro","Sport is Good | Smash Expert","128","726423354437","","273645","",""
"0.80","sapatilhas","Head","216","Sapatilhas de padel Head Motion Pro BOA","Atmosfera Sport","121","0726423903406","0726423903406","273624-WHBK","2968","Sapatilhas de padel Head Motion Pro","Smash Expert","128","726423354246","","273635","",""
"0.79","sapatilhas","Mizuno","1703","Sapatilhas de padel Mizuno Wave Exceed Tour 6 Verde","Padel Proshop PT","89","5059431840520","5059431840520","49884156231985","2669","Sapatilhas de padel Mizuno Wave Exceed Tour","Sport is Good | Smash Expert","68.94","5059882574050","","61GB248045","",""
"0.79","sapatilhas","Mizuno","1748","Sapatilhas de padel Mizuno Wave Enforce Tour 2 Amarelo","Padel Proshop PT","109","5059882574265","5059882574265","51843181314353","3068","Sapatilhas de padel Mizuno Wave Enforce Tour 2 Padel","Smash Expert","113","5059882574296","","61GB250645","",""
"0.79","sapatilhas","Mizuno","1748","Sapatilhas de padel Mizuno Wave Enforce Tour 2 Amarelo","Padel Proshop PT","109","5059882574265","5059882574265","51843181314353","3179","Sapatilhas de padel Mizuno Wave Enforce Tour 2","Smash Expert","105.85","5059882832976","","61GB260535","",""
"0.76","sacos","Wilson","403","Saco padel Wilson de Bela Super Tour Padel Preto","Padel Proshop PT | Atmosfera Sport","89.95","0097512789509","0097512789509","WR8907201","2881","Saco Wilson Bela Super Tour","Smash Expert","83","97512705844","","WR8903602","",""
"0.75","acessorios","Head","1949","Head padel pro grip overgrip padel","Forum Sport ES","6.99","","724794133521","285111","2486","Head padel pro overgrip","Decathlon ES | Smash Expert","7.99","0724794133521","","8629377","",""
"0.75","acessorios","Head","1990","Head padel pro perforated overgrip padel","Forum Sport ES","7.99","","724794936498","285701","2486","Head padel pro overgrip","Decathlon ES | Smash Expert","7.99","0724794133521","","8629377","",""
"0.75","raquetes","Bullpadel","15","Raquete Bullpadel Hack 04 Premier","Atmosfera Sport","263.99","8445402789146","8445402789146","HACK04PREMIER","1637","Raquete de Padel Bullpadel Hack 04 Premier Padel 2026","Forum Sport ES | Zona de Padel | Padel Proshop PT","235.59","8447552015410","8447552015410","53010047074609","",""
"0.75","raquetes","Bullpadel","95","Raquete Homem Bullpadel Xplo Comfort 25","Atmosfera Sport","125.39","8445402755639","8445402755639","XPLOCOMFORT25-000","1741","Raquete de Padel Bullpadel Xplo Comfort 2026","Padel Proshop PT | Zona de Padel","169.9","8445402974085","8445402974085","51791001714993","",""
"0.75","raquetes","Bullpadel","2495","Raquete de padel - Bullpadel Vertex 05 Comfort 26","Decathlon ES","199.99","8447552008344","","9002587","2740","Raqueta de padel Bullpadel Vertex 03 Comfort 22","Smash Expert","113","8445402125012","","AU47000000","",""
"0.75","raquetes","Adidas","715","Raquete de padel adidas Match Black 3.4","Adidas Padel | Zona de Padel","45","8435739402986","8435739402986","11579","2002","Adidas Padel match black 34 raquete de padel","Forum Sport ES","51.97","","8435739402986","AR5GA0U10","",""
"0.75","raquetes","Adidas","768","Raquete de padel adidas Match Black 2026","Zona de Padel | Padel Proshop PT | Smash Expert | Padel Market | Adidas Padel | Deporvillage","59.95","8435739406052","8435739406052","AR5GA3U23","2002","Adidas Padel match black 34 raquete de padel","Forum Sport ES","51.97","","8435739402986","AR5GA0U10","",""
"0.75","raquetes","Dunlop","1938","Dunlop aerostar lite raquete de padel","Forum Sport ES","143.99","","45566302786","10312142","2813","Raqueta de padel Dunlop 23 Aerostar Lite","Smash Expert","133","45566304247","","10335747","",""
"0.75","sacos","Adidas","702","Mochila Multigame Cinzento 3.3","Adidas Padel","48","8436548249328","","","3304","Mochila adidas Multigame 3.3","Smash Expert","51.66","8436548246952","","A000680","",""
"0.75","sapatilhas","Mizuno","2060","Mizuno wave exceed tour 7 cc sapatilhas Padel Mujer","Forum Sport ES","91.79","","5059882833782","61GC2676","3066","Sapatilhas de padel para mujer Mizuno Wave Exceed Tour AC","Smash Expert","100.73","5059882572186","","61GA247174","",""
"0.71","acessorios","Bullpadel","126","Gaveta bolas Bullpadel Premium Pro padel","Atmosfera Sport | Zona de Padel","97.97","8445402550234","8445402550234","PREMIUM-PRO-BOX","1525","Gaveta Bolas de padel Bullpadel Premium Pro (Pacote x24)","Padel Proshop PT","104","","","45518871691569","",""
"0.71","raquetes","Babolat","1767","Raquete de Padel Babolat Viper Juan Lebron 3.0 FW 2026","Zona de Padel | Padel Proshop PT","291.96","3324922317396","3324922317396","53884710322481","2607","Raquete de padel Babolat Viper Juan Lebrón 3.0","Decathlon ES","349.99","3324922409114","","9000211","",""
"0.71","raquetes","Drop Shot","2078","Dropshot conqueror attack 20 raquete de padel","Forum Sport ES | Zona de Padel","224.39","8435758316103","8435758316103","DP344014","3076","Raqueta de padel Dropshot Conqueror Attack 1.0","Smash Expert","199","8435758306647","","8435758306647","",""
"0.71","sapatilhas","Bullpadel","2094","Bullpadel vertex vibram 26v sapatilhas Padel Mujer","Forum Sport ES","94.85","","8445402957118","493650","2678","Sapatilhas de padel para mujer Bullpadel Pearl Vibram 26V","Smash Expert | Sport is Good","110","8445402956517","","DC99011000","",""
"0.71","sapatilhas","Bullpadel","2103","Bullpadel vertex vibram 26v sapatilhas Padel Mujer","Forum Sport ES","94.85","","8445402956883","493660","2678","Sapatilhas de padel para mujer Bullpadel Pearl Vibram 26V","Smash Expert | Sport is Good","110","8445402956517","","DC99011000","",""
"0.71","sapatilhas","ASICS","1999","Asics solution swift ff 2 padel sapatilhas Padel Hombre","Atmosfera Sport | Forum Sport ES","56.25","3324921774831","4570158701464","1041A465","2948","Sapatilhas de padel para mujer Asics Solution Swift FF 2 L.E","Smash Expert","84.45","4550457666671","","1042A264 - 500","",""
"0.71","sapatilhas","ASICS","1999","Asics solution swift ff 2 padel sapatilhas Padel Hombre","Atmosfera Sport | Forum Sport ES","56.25","3324921774831","4570158701464","1041A465","2958","Sapatilhas de padel para mujer Asics Solution Swift FF 2","Smash Expert","85.66","4570158182348","","1042A264 - 700","",""
"0.71","sapatilhas","Mizuno","307","Sapatilhas padel Homem Mizuno Wave Enforce Tour 2 CC brancos","Atmosfera Sport","100.5","5059882833256","5059882833256","61GC2603-20","3068","Sapatilhas de padel Mizuno Wave Enforce Tour 2 Padel","Smash Expert","113","5059882574296","","61GB250645","",""
"0.71","sapatilhas","Mizuno","307","Sapatilhas padel Homem Mizuno Wave Enforce Tour 2 CC brancos","Atmosfera Sport","100.5","5059882833256","5059882833256","61GC2603-20","3179","Sapatilhas de padel Mizuno Wave Enforce Tour 2","Smash Expert","105.85","5059882832976","","61GB260535","",""
